Gene_Proteins,EAA30,EAA13,PPS15,PPS24,PPS40,PPS47,PPS52,PPS64,PPS67,Young_Average,Young_SD,T-Test (Young to Pre-Old),T_Test_Young_to_Post,PRE_S03,PRE_S05,PRE_S10,PRE_S12,PRE_S15,PRE_S17,PRE_S24,PRE_S30,PRE_S32,PRE_S02,PRE_S04,PRE_S09,PRE_S11,PRE_S14,PRE_S16,PRE_S19,PRE_S21,PRE_S31,Old_Pre_Average,Old_Pre_SD,T_Test_Pre_to_Post),POST_S03,POST_S05,POST_S10,POST_S12,POST_S15,POST_S17,POST_S24,POST_S30,POST_S32,POST_S02,POST_S04,POST_S09,POST_S11,POST_S14,POST_S16,POST_S19,POST_S21,POST_S31,Old_Post_Average,Old_Post_SD
"NARS2_Probable asparagine--tRNA ligase, mitochondrial",3.3059,3.0911,3.4978,3.3526,2.3269,3.7239,3.7157,2.9336,2.5877,3.1706,0.4843,0.0003,0.0005,6.4944,7.1699,6.1492,4.5849,3.9235,5.8151,7.247,3.5616,4.9091,7.2385,9.5286,9.4883,4.2903,4.2599,8.6507,6.699,3.3254,4.2747,5.9783,1.9766,0.3883,7.1647,5.0865,10.3208,5.0376,6.9843,5.3787,6.1719,2.1793,4.3579,7.6891,8.2455,5.1295,6.8674,4.6362,12.9958,5.6824,7.9089,4.8681,6.4836,2.4433
NASP_Nuclear autoantigenic sperm protein,12.8436,11.8361,6.4402,6.0993,9.6199,8.3713,7.9789,8.4802,6.0118,8.6313,2.4388,0.6502,0.0439,6.1807,8.0596,9.2432,8.0952,7.6028,9.2632,13.2972,8.1217,8.2452,9.1527,9.3676,10.7347,7.9449,8.2433,10.8981,10.6736,8.6009,8.0873,8.9895,1.6049,0.012,14.4144,10.4694,11.9402,8.5609,15.7952,13.0882,11.6848,6.7924,8.4057,9.4967,8.876,10.9038,10.6683,6.4085,13.8071,16.0557,9.7458,10.3242,10.9687,2.8123
NAT1_Arylamine N-acetyltransferase 1,0,1.3244,0,0,1.0032,0,1.2118,0,0,0.3933,0.5955,0.1403,0.4065,0.0533,0,0.3192,0.162,0,0,0,0.0797,0.6329,0,0.3382,0.4291,0,0,0,0,0,0.717,0.1517,0.2346,0.1308,0.7382,0.1968,0,0.1133,0.1669,0,0,0.7073,0.6082,0.3845,0.1543,0.2917,0,0.1818,0.4576,0,0,0.593,0.2552,0.2627
NAT10_RNA cytidine acetyltransferase,0,0,0,0,0,0,0,0,0,0,0,0.4903,0.2223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8058,0,0,0,0.1559,0.6613,0.8444,0,0,0,0,0,0.7603,0,0,0,0.9094,0.5038,0,0,0,0,0,0,0,0.1207,0.2866
NATD1_Protein NATD1,8.7758,6.5873,0,2.6514,5.0532,4.7973,4.6052,4.6143,3.8611,4.5495,2.4267,0.3451,0.076,2.9576,3.0691,5.4428,5.7468,5.3024,5.2524,6.5699,4.0453,6.7858,5.9944,3.3522,5.8666,5.9264,6.1038,6.7569,5.2785,5.9737,3.6383,5.2257,1.2592,0.0437,6.9839,7.8709,6.2793,5.8307,7.1322,11.1245,10.7726,2.9216,5.9838,4.1416,4.6808,11.9779,10.3251,4.0203,5.8023,7.015,8.2284,0,6.7273,3.0721
"NAV1;GN=;GN=;GN=;GN=_Neuron navigator 1;Isoform of Q8NEY1, Isoform 2 of Neuron navigator 1;Isoform of Q8NEY1, Isoform 3 of Neuron navigator 1;Isoform of Q8NEY1, Isoform 4 of Neuron navigator 1;Isoform of Q8NEY1, Isoform 7 of Neuron navigator 1",0.2211,0.5419,0,0,0.8207,0,0.3174,0,0,0.2112,0.299,0.2938,0.7807,0,0,0,0,0,0,0.3618,0.1886,0.1663,0,0,0,0,0.1823,0.4257,0.3575,0.1886,0.2734,0.1191,0.1517,0.3222,0.5728,0.371,0,0,0.4988,0,0,0,0.1428,0,0,0.4499,0,0,0.4893,0.5402,0.209,0,0.1819,0.2322
NAXD_ATP-dependent (S)-NAD(P)H-hydrate dehydratase,4.8249,2.8295,1.1215,1.642,1.1767,2.0897,2.5325,3.2012,2.2595,2.4086,1.1481,0.1222,0.1037,3.8462,3.8125,3.863,3.8153,2.6496,2.8811,4.1083,0,2.3758,3.1085,3.1712,5.2022,3.1066,2.7447,5.561,2.6183,2.7941,1.875,3.1963,1.2326,0.5986,5.1535,2.6688,5.9212,3.4468,3.568,4.3579,3.4192,0,0,2.6593,3.9077,2.6809,4.2101,3.3687,4.2501,3.2257,4.499,3.3064,3.3691,1.4944
NAXE_NAD(P)H-hydrate epimerase,79.3027,56.534,122.8572,112.5329,59.892,150.1043,47.0051,118.7699,118.9342,96.2147,36.2398,0.0081,0.0028,47.6251,69.7931,75.7915,72.248,66.5538,61.3706,85.2826,61.101,88.2676,61.0869,70.0531,61.3324,72.1424,69.1831,87.4279,70.6825,78.6043,63.7531,70.1277,10.4287,0.1701,59.6895,50.527,67.4547,59.844,89.7272,66.7391,85.2358,71.4366,43.5587,46.3632,64.4491,80.6082,65.5532,42.9001,72.1276,76.3183,67.6108,50.5192,64.4812,13.8605
NBAS_NBAS subunit of NRZ tethering complex,5.1131,3.9076,3.1074,2.6429,2.4092,3.3993,4.2398,3.7706,3.3987,3.5543,0.8262,0.0122,0.0073,4.621,5.0317,4.6905,3.6528,3.7297,5.0952,9.4855,3.6572,3.581,5.65,5.6238,5.4902,4.9328,5.0015,8.5497,4.5166,4.6671,3.6974,5.093,1.5933,0.364,8.598,6.2809,7.2797,4.5073,5.6627,5.6154,6.3113,0,4.2255,6.0044,5.1501,3.2982,7.345,4.1348,6.2893,7.5063,7.5477,4.6855,5.5801,1.9825
NBEA_Neurobeachin,1.7029,1.4322,1.6417,1.2793,1.3489,1.3935,1.6027,1.9249,1.2747,1.5112,0.2206,0.9023,0.036,0.8469,2.1341,1.7511,1.7164,1.587,0.7976,2.6119,1.6317,1.0125,1.3997,1.7427,1.9911,1.3437,1.1923,2.5348,0.5044,1.7933,1.0593,1.5361,0.578,0.0607,2.5568,2.2368,1.8907,1.7751,2.2363,1.8629,2.5085,1.4472,0.8402,1.45,1.6007,2.216,2.348,1.3414,1.4474,2.8882,1.9401,1.797,1.9102,0.5128
NCALD_Neurocalcin-delta,0.9149,2.8485,1.1671,1.2986,1.2285,0.9847,1.378,1.7034,1.3782,1.4335,0.5791,0.2848,0.3719,0.6463,1.2207,1.6085,0.938,1.2784,0,1.2965,1.4017,1.5251,1.271,1.2363,1.146,1.8117,1.6081,1.4347,1.0316,1.4998,1.0612,1.2231,0.4114,0.0658,1.7018,1.0245,1.154,1.139,6.1267,1.6113,2.025,3.3878,1.1431,0,1.4991,2.1806,2.2506,1.1964,1.4041,2.7761,1.6893,1.0122,1.8512,1.3052
NCAM1_Neural cell adhesion molecule 1,21.9578,7.993,4.1658,5.2033,3.4156,0,4.5967,0,2.9121,5.5827,6.6261,0.7192,0.5631,11.2677,5.0398,3.3583,3.6511,8.6054,3.6405,6.6659,3.9578,6.1348,6.5818,3.9421,3.2523,5.4751,3.5035,7.4413,4.1765,0,2.2956,4.9439,2.5648,0.0127,13.6332,8.6442,9.1141,3.025,17.6573,6.8783,4.8823,6.3668,4.796,7.0238,4.9059,4.9372,7.3046,4.4736,5.2784,8.5434,0,4.4132,6.7709,3.9521
NCAM2_Neural cell adhesion molecule 2,0,0.4871,0,0,0.6955,0.504,0,0,0.2907,0.2197,0.2795,0.6835,0.1656,0,0,1.2132,0,0,0,0,0,0,0,0,0,0,0,0,0,1.026,0.6468,0.1603,0.382,0.4058,1.1241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0624,0.2649
NCBP1_Nuclear cap-binding protein subunit 1,0,2.7581,1.1148,1.3523,1.449,1.7672,1.9645,0.3118,0.9393,1.2952,0.8398,0.003,0.0001,2.2133,2.2275,1.7144,2.6603,1.3523,2.4158,3.1222,2.5536,1.5524,2.4263,1.6015,3.0359,1.9297,2.0893,2.6131,2.9276,1.3411,1.6565,2.1907,0.5705,0.0887,2.6515,2.4844,2.9317,1.8889,3.5483,2.8319,2.4907,1.72,2.3926,3.1606,1.6562,2.1197,2.0984,2.4846,3.8159,2.5511,2.3111,2.7648,2.5501,0.5771
NCBP2_Nuclear cap-binding protein subunit 2,1.5073,0,0.7806,1.058,0,0,0,0.7379,0.6149,0.5221,0.5557,0.013,0.0224,1.4023,1.3862,1.1618,2.0423,1.2128,1.8368,2.8547,1.5214,0,0.9065,1.4667,1.2221,0,1.4699,2.3081,1.9342,0.7479,0,1.3041,0.7807,0.7653,1.5856,0,2.0133,1.259,1.1853,2.2609,0,0,0,1.8208,1.3071,0.9097,1.7116,1.1266,1.8076,2.1224,1.8256,1.1235,1.2255,0.769
NCBP2AS2_Protein NCBP2AS2,3.9173,0,5.5488,2.6821,0,0,3.1933,4.3332,5.7492,2.8249,2.3328,0.0454,0.0219,6.8145,8.2056,7.6458,1.8838,4.7651,7.1295,7.917,1.732,2.8794,9.7645,19.2631,13.1459,1.2221,3.931,6.5864,3.8576,2.3294,3.3535,6.2459,4.5516,0.8991,6.6926,7.6247,11.5535,10.34,3.6085,4.7269,5.3805,0,3.0653,17.309,8.9643,4.2314,6.0061,2.9913,9.517,3.0146,5.7945,4.2263,6.3915,4.0272
NCBP3_Nuclear cap-binding protein subunit 3,0,0,0,0,0,0,0,0,0,0,0,0.219,0.4903,0,0,0,0,0,0,0.6303,0.3953,0,0,0,0,0,0,0,0.63,0,0,0.092,0.2167,0.3426,0.5577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.031,0.1315
NCDN_Neurochondrin,3.8609,3.4325,3.1857,3.0689,2.2536,3.9865,2.3102,3.4033,3.4104,3.2124,0.6019,0.4516,0.0636,2.598,3.9529,3.5943,2.9952,3.8139,3.6296,5.3084,2.0542,2.1052,3.8721,3.2242,4.2305,3.4689,3.6686,4.9232,3.2916,3.1207,2.4272,3.4599,0.8683,0.0259,6.6558,6.8395,5.1917,3.5012,4.3674,5.4036,4.8587,1.8729,2.2671,4.3189,2.7347,6.2184,4.882,2.8194,3.7454,6.364,4.0264,1.6094,4.3154,1.6365
NCEH1_Neutral cholesterol ester hydrolase 1,32.5753,21.0286,26.8411,17.786,22.8386,23.8667,31.0345,34.4276,41.1535,27.9502,7.4367,0.0038,0.0451,87.0033,66.6058,107.7259,42.3278,32.2383,62.6846,36.4385,24.6064,13.788,55.7632,49.0599,44.9148,54.0369,44.5451,57.1676,75.4244,51.8019,39.7925,52.5514,22.2904,0.079,50.107,76.5109,103.6364,59.4046,35.8199,41.0847,22.4503,7.9217,13.8763,65.4596,41.0882,30.5829,57.3976,23.6951,64.521,30.8765,55.6309,34.7022,45.2648,23.8426
NCF1B;NCF1_Putative neutrophil cytosol factor 1B;Neutrophil cytosol factor 1,1.0268,0,0,0,0.846,0,0.569,0,0,0.2713,0.423,0.2628,0.6474,0,0,0,0,0.5443,0,0,0.7745,0,0,0,0,0,0,0.7933,0,0,0,0.1173,0.2742,0.0617,0,0.5787,0,0,1.7137,0.7021,0,1.8519,0,0,0,1.5555,0,0,0,0.4821,0,0,0.3824,0.6514
"NCF2;GN=_Neutrophil cytosol factor 2;Isoform of P19878, Isoform 3 of Neutrophil cytosol factor 2",9.3258,9.3758,4.0504,3.4315,7.6273,3.4986,5.575,0,2.3873,5.0302,3.2119,0.9622,0.0361,2.9555,6.4731,3.1334,5.6849,8.0237,6.9097,8.2806,3.6775,4.5092,3.6724,5.3781,5.6401,4.4524,2.1558,9.05,3.2886,3.237,4.8877,5.0783,2.0131,0.0028,10.7795,9.0203,8.3294,3.4484,8.3526,10.3677,12.6305,7.9895,6.6754,5.814,3.9978,8.9656,8.1432,4.0138,4.804,10.7976,5.1644,7.5276,7.6012,2.6524
"NCF4;GN=_Neutrophil cytosol factor 4;Isoform of Q15080, Isoform 3 of Neutrophil cytosol factor 4",5.1891,4.9832,1.3077,2.5141,3.4038,2.2475,3.6379,1.7923,0,2.7862,1.6959,0.8536,0.1596,2.0537,2.2725,1.7423,2.5225,2.7244,1.7273,5.0473,3.0023,3.3366,2.7967,4.7373,1.8962,1.9319,2.0063,3.6749,1.9231,1.6205,3.39,2.6892,1.0167,0.0296,5.2881,4.0478,2.5865,2.0092,5.8402,2.6951,3.1457,5.4818,3.3649,3.0358,2.4769,3.9371,2.5864,3.4203,4.4525,5.4341,2.4941,2.6488,3.6081,1.218
NCK1_Cytoplasmic protein NCK1,35.3011,40.7577,33.3657,28.4171,38.5628,45.666,32.8961,36.8898,29.4582,35.7016,5.477,0.009,0.9093,22.4097,28.557,32.1159,23.3628,29.0652,20.671,36.5309,25.6241,36.2328,25.8969,37.2415,27.6751,26.4418,21.5328,41.5863,24.3283,33.8412,27.1082,28.9012,6.0566,0.0238,39.4546,27.8755,35.8024,26.3706,49.2974,38.2896,45.2087,37.6202,21.7608,23.9262,30.7268,35.8574,42.3345,22.796,33.5507,53.0553,41.8135,30.0647,35.3225,9.0381
NCK2_Cytoplasmic protein NCK2,11.8219,7.7734,10.7078,10.0157,7.3125,12.7612,6.3481,10.5101,9.0804,9.5924,2.1381,0.0906,0.0321,9.0518,10.3042,10.1279,11.5965,11.2946,11.0729,18.6321,9.8299,6.563,10.3717,12.1458,11.3368,11.066,10.8293,19.5142,14.5986,11.8644,9.4385,11.6466,3.1413,0.5776,13.5207,10.7207,14.9421,9.579,14.5052,14.3048,14.0353,6.758,9.1028,11.4123,10.6836,8.1899,14.7637,8.1313,15.849,14.9186,14.5853,11.0168,12.0566,2.8717
"NCKAP1;GN=_Nck-associated protein 1;Isoform of Q9Y2A7, Isoform 2 of Nck-associated protein 1",8.6077,8.8432,7.5736,6.7792,7.3227,8.3118,7.8333,6.4196,5.8547,7.5051,1.0144,0.1619,0.0285,6.3043,7.1881,8.6222,8.6144,6.9258,8.4989,13.7772,5.1766,6.7066,8.7871,9.2646,10.9847,8.3424,8.8471,12.1661,9.975,8.2803,6.3373,8.5999,2.1462,0.356,11.0687,8.3893,10.4283,7.3506,9.5747,9.2743,9.7977,7.4425,6.204,8.1334,8.708,10.0087,10.3943,6.3747,12.1507,12.3489,8.9995,6.447,9.0608,1.8627
"NCKIPSD;GN=_NCK-interacting protein with SH3 domain;Isoform of Q9NZQ3, Isoform 3 of NCK-interacting protein with SH3 domain",2.9167,2.4351,1.6241,1.1305,2.0062,2.1296,2.7148,1.692,1.3935,2.0047,0.6039,0.4686,0.0254,1.5224,1.6692,2.1214,1.5294,1.5498,2.0477,3.189,2.728,2.2688,2.2077,2.0069,2.4193,2.3599,1.9494,2.7337,1.909,2.1799,2.4261,2.1565,0.4515,0.0146,2.5888,2.2,3.4246,1.7367,2.1445,3.1101,2.2502,2.8571,2.7013,2.0653,1.9748,2.3849,2.6552,2.0378,2.8197,2.4628,2.4508,2.8758,2.4856,0.4355
NCL_Nucleolin,93.2799,69.408,85.4084,90.5481,69.8986,83.6167,70.4117,81.7535,68.5341,79.2066,9.7787,0.0013,0.0038,115.7006,95.0194,117.4682,68.2693,91.4056,154.2626,175.8574,110.522,79.7814,97.6445,122.5257,145.2412,88.9591,113.1878,144.8272,142.8604,113.1999,92.9611,114.983,28.4506,0.5221,136.9298,130.3236,176.6494,79.8032,167.9671,134.3632,138.5549,27.9075,89.346,125.1334,100.7899,97.3821,139.8924,81.3689,188.6694,133.4531,128.1788,106.9934,121.317,38.6436
"NCLN;GN=_Nicalin;Isoform of Q969V3, Isoform 2 of Nicalin",8.9061,8.4122,5.0061,4.7444,5.8934,5.7902,6.8477,4.9855,4.6196,6.1339,1.5959,0.8849,0.2639,4.7559,5.6197,6.9362,5.7773,5.7368,5.9424,9.5755,5.8647,5.9649,6.6473,5.9378,6.8595,3.4522,6.2575,9.325,5.0051,4.4869,7.9415,6.227,1.5414,0.2352,9.4689,5.3644,8.1604,3.9813,6.5573,9.1787,8.5906,6.1436,7.6397,6.0978,5.09,4.5017,6.3284,7.1938,5.265,9.6879,7.4117,7.8425,6.9169,1.7154
"NCOA1;GN=;GN=_Nuclear receptor coactivator 1;Isoform of Q15788, Isoform 2 of Nuclear receptor coactivator 1;Isoform of Q15788, Isoform 3 of Nuclear receptor coactivator 1",0.5599,0,0,0,0,0,0.3052,0,0,0.0961,0.2011,0.6729,0.3291,0,0,0,0,0,0,0,0.3852,0,0,0,0,0,0.7354,0,0,0,0,0.0623,0.1909,0.1007,0,0.8874,0,0,0,0,0,0,0,0,0,0,0,0.6004,0.6179,0,1.3029,1.1271,0.252,0.4442
"NCOA7;GN=;GN=_Nuclear receptor coactivator 7;Isoform of Q8NI08, Isoform 2 of Nuclear receptor coactivator 7;Isoform of Q8NI08, Isoform 7 of Nuclear receptor coactivator 7",0.4653,1.0352,0.7303,0.3889,0.2113,0.5165,0,0.683,0.678,0.5232,0.3056,0.1735,0.0165,0.3756,0.8368,0.8177,0.9489,1.0997,0.8879,1.6488,0.4373,0.3178,0,0.5017,0.6691,0.6841,0.7133,1.2878,0.8738,0.5446,0.4702,0.7286,0.3818,0.0071,1.2181,1.2633,1.5091,1.053,1.2185,1.1194,2.0679,0,0.7004,0.8026,0.6562,0.8873,1.2006,0.5485,1.3769,1.2346,1.0292,0,0.9936,0.5019
"NCOR2;GN=_Nuclear receptor corepressor 2;Isoform of Q9Y618, Isoform 3 of Nuclear receptor corepressor 2",0,0,0,0,0,0,0,5.2084,7.6631,1.4302,2.9035,0.6924,0.4054,0,9.0284,0,0,0,2.9913,7.9188,3.9669,0,0,0,0,0,0,4.986,5.7202,0,0,1.9229,3.0672,0.4999,0,4.2211,0,0,0,10.1014,0,0,9.7606,0,0,0,0,0,6.5994,0,8.8515,10.1474,2.7601,4.2209
"NDC1;GN=;GN=;GN=_Nucleoporin NDC1;Isoform of Q9BTX1, Isoform 2 of Nucleoporin NDC1;Isoform of Q9BTX1, Isoform 5 of Nucleoporin NDC1;Isoform of Q9BTX1, Isoform 6 of Nucleoporin NDC1",0,0,0,0.338,0,0.7445,0,0,0.8638,0.2163,0.3525,0.0004,0.0009,0.8967,0.6377,0.9342,0.7361,0.7397,0.9629,0.795,0.5185,0.4796,1.2074,0.6881,0.7791,1.5031,0.9705,1.9772,1.029,1.1341,0,0.8883,0.4216,0.3608,1.6955,1.1546,1.4809,0.7734,1.2613,1.189,1.5821,0,0,1.0317,0.8395,0.9072,1.4842,0.6472,1.6673,1.204,0.7325,0,0.9806,0.5519
"NDE1;GN=_Nuclear distribution protein nudE homolog 1;Isoform of Q9NXR1, Isoform 2 of Nuclear distribution protein nudE homolog 1",0.4367,0.4144,0,0,0.5274,0,0,0,0,0.1532,0.2317,0.0551,0.2594,0,0,0,0,0,0,0,0.2361,0,0,0,0,0,0,0,0,0,0.3046,0.03,0.0882,0.1952,0,0,0,0,0,0,0,0.336,0.4848,0,0,0,0,0,0,0,0,0.3802,0.0667,0.1557
NDFIP2_NEDD4 family-interacting protein 2,0,0,0,0,0,0,0,0,0,0,0,0.0046,0.0248,0.3811,0,0.7482,0,0.6456,0.8361,1.0061,0,0,0,1.0054,0.7359,0.2658,0.4119,1.1536,0.8024,0,0,0.444,0.4237,0.676,1.0897,0.6747,1.3734,0.6203,0.4968,1.0717,0,0,0,0,0.9452,0,0,0,0.8102,0,0,0,0.3935,0.4895
"NDOR1;GN=;GN=_NADPH-dependent diflavin oxidoreductase 1;Isoform of Q9UHB4, Isoform 2 of NADPH-dependent diflavin oxidoreductase 1;Isoform of Q9UHB4, Isoform 4 of NADPH-dependent diflavin oxidoreductase 1",0,0,0,0,0,0,0,0,0,0,0,0.1414,0.1034,0,0.569,0,0,0,0,0,0,0,0.6238,0.8086,0.8274,0,0,0,0,0,0,0.1572,0.3074,0.2435,0,1.1001,1.1532,0.9254,0,0,0,0,0,0,0.464,1.3301,0,0,0,0,0,0,0.2763,0.4855
NDRG1_Protein NDRG1,15.6815,21.8932,5.4076,6.0323,19.3941,11.5158,11.8453,7.876,6.855,11.8334,6.0069,0.0802,0.3722,3.7311,9.9796,11.1589,7.4204,11.7591,4.4306,9.9784,9.8231,14.5681,9.5356,9.1754,8.9514,9.3862,7.3418,8.8889,4.5668,7.7991,10.1883,8.8157,2.6804,0.3192,14.184,10.1467,9.8268,8.6521,11.1641,10.3677,11.8665,21.7431,5.7647,4.9943,9.1352,10.6409,9.5213,4.9301,7.7126,13.9293,9.9958,7.1098,10.0936,3.9198
NDRG2_Protein NDRG2,1836.0645,1168.9871,1284.6972,1328.5544,1583.6843,1588.1559,1228.9805,1695.1427,1245.6813,1439.9942,238.9655,0,0.0323,717.1925,863.9969,954.1579,978.1955,831.7115,709.35,1029.5813,1181.8127,1289.144,843.4279,640.8067,1052.6641,1155.8209,1014.1443,1111.3478,658.4335,1160.7696,1016.7196,956.0709,192.9085,0.1139,1594.0358,968.9987,1029.4666,931.5803,1282.4019,1508.9691,1379.8187,1567.9095,808.4909,625.5661,553.7539,1437.7362,1343.6743,659.2628,903.8605,1804.3829,1087.4669,856.1639,1130.1966,371.5077
NDRG3_Protein NDRG3,28.3588,27.9711,18.3147,14.467,27.439,20.4218,19.1843,23.5563,18.8108,22.0582,4.9872,0.5191,0.1506,14.7006,18.6643,24.3456,18.1981,16.8878,16.7441,25.8322,21.3378,27.6186,17.7234,18.8724,24.154,21.276,20.6205,28.7111,16.8932,20.953,22.683,20.9009,3.9918,0.0151,31.4194,23.7314,24.9524,21.0146,27.392,28.522,28.6696,26.4985,19.4033,17.2057,18.1977,32.1499,29.1671,16.3779,26.8597,31.3349,25.9308,22.6129,25.08,4.9927
"NDST1;GN=_Bifunctional heparan sulfate N-deacetylase/N-sulfotransferase 1;Isoform of P52848, Isoform 3 of Bifunctional heparan sulfate N-deacetylase/N-sulfotransferase 1",4.7873,1.4388,2.4786,0,0,0,1.7638,0.9594,1.8286,1.4729,1.5403,0.0121,0.0945,7.1045,4.5364,4.3413,0,3.0554,5.0578,3.2126,3.6758,0,5.4771,3.1734,6.5447,0,2.4854,4.0174,7.1666,2.2858,4.8686,3.7224,2.2327,0.3484,4.005,6.0287,3.2615,3.8541,2.101,4.136,0,0,4.536,5.981,2.8855,0,5.2601,0,6.7515,2.4229,1.9504,0,2.9541,2.2998
NDUFA1_NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 1,5.4625,6.206,4.7918,6.7325,5.9043,5.2107,21.1419,8.6081,4.6774,7.6372,5.2041,0.0238,0.0028,19.3524,28.7086,0.9144,10.2595,16.9579,11.8785,39.8713,10.2105,10.6439,26.6102,52.9087,22.1508,7.5195,10.3205,28.5003,9.6519,10.0982,15.8745,18.4684,12.8836,0.6946,26.0434,13.5682,44.077,25.3466,10.9326,23.425,35.5895,5.9023,10.1385,28.0397,23.2872,3.2997,18.2681,16.3968,22.6048,18.9596,25.0793,8.4831,19.969,10.4481
"NDUFA10_NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial",188.9243,194.1823,272.9611,248.3587,109.0859,253.2172,370.9753,297.3762,257.1029,243.576,73.9945,0.0061,0.0012,550.9799,913.0871,487.1024,497.4228,624.2703,489.1709,1107.7982,168.0926,205.3532,702.6644,1252.3539,607.1414,224.2284,370.254,842.6554,433.2234,302.4447,278.7412,558.7213,308.1855,0.5426,655.2365,464.647,1103.3473,722.3045,334.1367,815.2304,958.3453,74.6657,273.1965,882.0093,918.3682,148.518,532.8365,553.0426,767.8942,510.7739,756.3382,380.502,602.8552,288.8056
NDUFA11_NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 11,991.489,1035.8807,1683.0645,952.9703,730.0769,1090.1673,2281.6288,1933.7765,1412.5601,1345.7349,519.6225,0.0013,0.0151,6518.3213,3888.7695,2834.1331,1847.2499,3042.0945,5147.0761,4415.3044,1425.439,1262.9944,5047.1704,7730.8466,4807.1737,1913.3329,2589.4035,4546.2152,4761.1505,2077.5239,1784.4368,3646.5909,1848.9861,0.4695,2770.7547,2712.2091,5656.037,6470.2387,850.7935,2450.0804,3050.1557,485.5355,1860.6948,7119.8883,4012.5164,666.3144,3119.5647,2246.7698,6924.7067,1576.9892,3563.8225,2070.4125,3200.4158,2082.0063
NDUFA12_NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 12,70.8415,87.8637,86.3179,69.0525,55.6761,79.4682,173.6381,114.7113,70.1628,89.748,35.5527,0.0133,0.0018,134.2876,269.0991,160.1475,131.2277,190.0084,115.2552,364.469,79.2408,93.5624,203.586,363.9377,184.4972,82.412,105.5844,242.5214,125.8091,118.8902,121.8432,171.4655,87.7388,0.4737,219.7344,144.585,314.9287,243.6241,152.9763,221.2995,345.9569,38.5053,84.6009,212.4091,220.1997,52.4782,168.4201,156.2639,189.7149,202.9218,241.4438,161.4942,187.3087,79.5531
NDUFA13_NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 13,214.7771,430.933,285.1023,283.6478,200.0638,354.7261,641.5714,403.7442,272.6509,343.0241,136.6566,0.0299,0.0013,525.8184,1114.0693,648.366,521.4656,627.0075,427.4257,1237.829,219.76,392.4655,848.1018,1466.6519,704.6765,226.5638,335.0424,804.915,376.6274,354.3611,427.6625,625.4894,352.032,0.264,783.2458,575.7357,1132.9539,975.4843,639.7704,855.4219,1299.0385,169.286,310.0096,927.1995,892.1067,232.0487,634.445,595.3311,766.6575,709.1347,905.3491,561.2507,720.2483,295.7956
NDUFA2_NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 2,72.275,146.0191,146.7915,117.295,62.6424,149.4835,170.0768,171.8329,108.6693,127.2317,39.8293,0.0182,0.0013,240.5668,419.9641,235.1366,191.481,258.0909,207.4248,474.0898,79.0949,82.509,320.9578,589.5587,293.4201,116.2226,139.6046,369.7005,203.9445,145.4273,122.6877,249.4379,140.9776,0.4416,323.8904,243.0095,434.2224,335.0582,233.8967,306.5352,453.5467,35.7372,111.3718,338.5893,403.1966,91.8289,271.0778,211.5722,330.8273,294.6651,307.2671,165.4843,271.7654,115.1404
NDUFA3_NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 3,60.5185,60.8009,54.8783,55.4855,47.1812,55.4362,133.6734,68.4709,54.9676,65.7125,26.1339,0.0002,0.0019,147.5828,193.3803,110.9482,98.5203,170.4012,198.4086,223.2856,74.4644,89.7638,210.595,266.3956,174.5781,76.1536,124.997,219.9125,177.6691,108.9296,109.4211,154.1893,57.4458,0.725,122.6304,135.09,230.6812,266.0237,90.0584,173.4524,184.0865,31.45,102.4413,206.906,160.2569,44.6354,117.8675,107.2404,272.8986,98.0909,169.5962,145.2636,147.7039,67.7276
NDUFA4_Cytochrome c oxidase subunit NDUFA4,1579.7484,1537.8349,2953.9339,1701.6857,1340.1969,2332.3469,2674.5147,3236.7285,2504.4187,2206.8232,688.1958,0.0029,0.0124,6377.2841,5396.5002,4999.4271,2931.7413,4129.2645,5784.4302,6753.9937,1450.6032,2173.2087,7059.0778,10782.6884,8224.1271,2606.6969,3480.1642,5837.8105,4970.6354,3219.927,2446.2519,4923.5462,2398.1701,0.992,3676.191,4485.6272,7397.9645,10245.1968,2209.1446,5612.81,5696.6825,707.0026,2833.1863,6667.6559,8356.3538,1592.8659,4453.4235,3028.7161,11324.0397,2949.3663,5379.1798,2143.1713,4931.0321,2963.6198
